"","V237","V10","V253","V22","V11","V46","V68"
"2654","70","Very happy","Fourth step","8","Good","6","7"
"2655","36","Quite happy","Third step","5","Fair","3","3"
"2656","75","Quite happy","second step","Satisfied","Good","5","8"
"2657","27","Quite happy","second step","8","Good","7","6"
"2658","34","Very happy","Sixth step","Satisfied","Good","A great deal","8"
"2659","30","Quite happy","Third step","8","Good","7","5"
"2660","54","Quite happy","Seventh step","6","Fair","A great deal","6"
"2661","27","Very happy","Sixth step","Satisfied","Fair","8","5"
"2662","57","Quite happy","Fourth step","8","Fair","5","7"
"2663","61","Quite happy","Third step","8","Good","5","8"
"2664","31","Quite happy","second step","7","Good","8","6"
"2665","51","Very happy","Seventh step","Satisfied","Good","8","9"
"2666","26","Very happy","Eigth step","9","Very good","8","8"
"2667","32","Quite happy","Fifth step","8","Very good","7","7"
"2668","28","Not very happy","Seventh step","5","Good","A great deal","6"
"2669","64","Quite happy","Lower step","7","Fair","8","6"
"2670","60","Quite happy","Lower step","6","Fair","8","4"
"2671","58","Quite happy","Seventh step","8","Good","8","Satisfied"
"2672","65","Quite happy","Third step","9","Fair","9","8"
"2673","48","Quite happy","second step","7","Good","8","7"
"2675","23","Quite happy","Tenth step","8","Fair","8","7"
"2676","21","Quite happy","Lower step","9","Good","9","9"
"2677","29","Very happy","Seventh step","Satisfied","Very good","8","9"
"2678","53","Quite happy","Third step","Satisfied","Fair","8","6"
"2679","19","Quite happy","Third step","2","Good","8","8"
"2680","45","Quite happy","Fourth step","Satisfied","Very good","A great deal","9"
"2681","35","Quite happy","Third step","8","Fair","8","7"
"2682","40","Quite happy","Fourth step","8","Good","A great deal","5"
"2683","39","Very happy","Nineth step","9","Good","9","9"
"2684","47","Not at all happy","Lower step","2","Poor","8","2"
"2685","28","Very happy","second step","Satisfied","Good","7","7"
"2686","46","Very happy","Third step","Satisfied","Very good","9","5"
"2687","68","Quite happy","Sixth step","Satisfied","Very good","A great deal","Satisfied"
"2688","28","Very happy","Eigth step","Satisfied","Very good","8","7"
"2689","29","Quite happy","Fifth step","8","Good","9","6"
"2690","39","Very happy","Eigth step","Satisfied","Very good","8","9"
"2691","29","Very happy","Fifth step","8","Good","9","8"
"2692","66","Not very happy","Fourth step","7","Fair","8","8"
"2693","49","Quite happy","Sixth step","4","Good","5","9"
"2694","23","Quite happy","Fourth step","9","Very good","A great deal","6"
"2695","54","Very happy","Tenth step","2","Good","9","9"
"2696","22","Quite happy","Third step","8","Good","6","4"
"2699","57","Quite happy","Seventh step","7","Fair","7","7"
"2700","44","Very happy","Fifth step","9","Very good","9","8"
"2701","55","Quite happy","Fourth step","9","Good","8","8"
"2702","43","Not very happy","Fourth step","7","Good","A great deal","3"
"2703","36","Very happy","Fourth step","9","Good","9","9"
"2704","22","Very happy","second step","9","Very good","7","6"
"2705","43","Quite happy","Tenth step","9","Very good","8","8"
"2706","49","Quite happy","Fourth step","8","Fair","8","9"
"2707","28","Quite happy","Third step","8","Good","9","7"
"2708","44","Very happy","Tenth step","9","Good","9","9"
"2710","40","Quite happy","Sixth step","5","Very good","7","7"
"2711","24","Quite happy","Sixth step","9","Good","9","8"
"2712","21","Quite happy","Lower step","8","Very good","6","2"
"2713","23","Very happy","second step","9","Good","9","9"
"2714","44","Very happy","Third step","9","Good","7","6"
"2715","28","Quite happy","Third step","7","Very good","9","8"
"2716","30","Quite happy","Fifth step","4","Fair","A great deal","8"
"2717","24","Very happy","Lower step","9","Good","9","8"
"2718","26","Quite happy","second step","9","Good","6","4"
"2719","72","Quite happy","Nineth step","9","Good","8","8"
"2720","68","Quite happy","Sixth step","9","Poor","9","8"
"2721","23","Quite happy","Lower step","7","Good","9","5"
"2722","66","Quite happy","Tenth step","Satisfied","Fair","A great deal","Satisfied"
"2723","30","Very happy","Third step","9","Very good","A great deal","2"
"2724","45","Quite happy","Fourth step","8","Good","9","9"
"2725","51","Quite happy","Eigth step","9","Very good","7","8"
"2726","54","Quite happy","Seventh step","8","Good","8","8"
"2727","54","Very happy","Nineth step","Satisfied","Very good","A great deal","8"
"2728","36","Very happy","Tenth step","9","Good","9","9"
"2729","46","Quite happy","Tenth step","9","Good","9","9"
"2730","55","Not very happy","Lower step","4","Poor","5","2"
"2731","37","Quite happy","Seventh step","8","Very good","8","9"
"2732","67","Quite happy","Seventh step","3","Fair","6","9"
"2733","38","Quite happy","Nineth step","9","Very good","8","7"
"2734","20","Very happy","Lower step","Satisfied","Very good","9","9"
"2736","69","Quite happy","Lower step","8","Poor","7","7"
"2737","34","Not very happy","Lower step","2","Fair","3","Dissatisfied"
"2738","48","Quite happy","Lower step","7","Fair","6","5"
"2739","18","Very happy","Lower step","9","Very good","7","7"
"2740","57","Quite happy","Third step","5","Fair","8","5"
"2741","28","Very happy","Fifth step","9","Very good","8","8"
"2742","25","Quite happy","Sixth step","8","Very good","7","4"
"2744","53","Quite happy","Nineth step","9","Very good","8","9"
"2745","87","Very happy","second step","9","Good","8","8"
"2746","73","Not at all happy","second step","2","Good","8","8"
"2747","22","Quite happy","Third step","9","Very good","7","9"
"2749","48","Not very happy","Lower step","2","Poor","2","Dissatisfied"
"2750","24","Very happy","Lower step","8","Good","8","8"
"2751","53","Quite happy","Third step","Dissatisfied","Very good","8","6"
"2752","40","Not very happy","Fourth step","3","Good","4","2"
"2753","73","Not very happy","Lower step","3","Poor","4","3"
"2754","24","Quite happy","second step","8","Good","8","8"
"2755","27","Quite happy","second step","8","Good","9","6"
"2756","56","Not very happy","Lower step","2","Poor","3","3"
"2757","58","Very happy","Seventh step","Satisfied","Very good","7","3"
"2758","64","Quite happy","Nineth step","8","Very good","9","7"
"2760","41","Very happy","Seventh step","9","Very good","8","8"
"2761","50","Quite happy","Sixth step","8","Very good","7","7"
"2762","77","Quite happy","Lower step","Satisfied","Good","8","8"
"2763","22","Very happy","second step","8","Good","9","6"
"2764","19","Quite happy","second step","7","Good","9","7"
"2765","43","Very happy","Fifth step","Satisfied","Good","8","8"
"2766","74","Quite happy","Lower step","Satisfied","Good","7","7"
"2767","39","Quite happy","Fifth step","9","Very good","7","9"
"2768","80","Not very happy","Lower step","3","Fair","3","8"
"2769","28","Very happy","Eigth step","8","Very good","8","7"
"2770","71","Very happy","Third step","8","Good","6","Satisfied"
"2771","61","Quite happy","second step","8","Good","9","8"
"2772","44","Quite happy","Eigth step","9","Fair","9","Satisfied"
"2773","21","Very happy","second step","9","Very good","8","8"
"2774","39","Very happy","Nineth step","8","Good","7","5"
"2775","19","Very happy","Fourth step","7","Good","A great deal","3"
"2776","68","Not at all happy","second step","3","Poor","7","6"
"2777","21","Quite happy","Lower step","8","Very good","9","6"
"2778","37","Very happy","Eigth step","8","Good","6","9"
"2779","47","Quite happy","Sixth step","8","Good","8","9"
"2780","20","Quite happy","Lower step","8","Good","9","8"
"2781","23","Quite happy","Seventh step","8","Very good","6","7"
"2782","39","Quite happy","Sixth step","8","Very good","8","8"
"2783","19","Quite happy","Lower step","9","Very good","9","7"
"2784","51","Quite happy","second step","8","Fair","8","4"
"2785","31","Quite happy","Lower step","6","Good","5","Dissatisfied"
"2786","27","Quite happy","Eigth step","7","Very good","8","Satisfied"
"2787","49","Quite happy","Seventh step","8","Very good","8","Satisfied"
"2788","37","Quite happy","Nineth step","7","Good","9","8"
"2789","46","Quite happy","Seventh step","7","Fair","8","5"
"2790","58","Quite happy","Third step","7","Fair","7","8"
"2791","36","Quite happy","Eigth step","7","Good","8","9"
"2792","28","Quite happy","Fifth step","8","Very good","7","6"
"2793","33","Quite happy","Fourth step","8","Good","9","8"
"2794","50","Quite happy","Sixth step","9","Good","8","9"
"2795","26","Quite happy","Fourth step","8","Good","9","6"
"2796","25","Very happy","Lower step","9","Good","8","3"
"2797","36","Quite happy","Lower step","7","Fair","3","Dissatisfied"
"2798","70","Very happy","second step","8","Fair","7","7"
"2799","34","Very happy","Seventh step","Satisfied","Good","7","8"
"2800","24","Quite happy","second step","9","Good","7","6"
"2802","26","Quite happy","second step","5","Good","8","6"
"2803","54","Very happy","Fifth step","9","Good","9","Satisfied"
"2804","27","Very happy","Third step","9","Very good","9","7"
"2805","57","Quite happy","Fifth step","9","Good","5","8"
"2806","23","Very happy","Fourth step","Satisfied","Very good","A great deal","8"
"2807","77","Not very happy","Fourth step","3","Poor","8","8"
"2808","63","Quite happy","Nineth step","8","Good","8","Satisfied"
"2809","56","Quite happy","second step","8","Fair","5","8"
"2810","28","Quite happy","Fifth step","7","Good","5","6"
"2811","65","Quite happy","second step","8","Fair","6","6"
"2812","37","Quite happy","Lower step","5","Good","7","Dissatisfied"
"2813","75","Quite happy","Lower step","6","Fair","4","5"
"2814","43","Quite happy","Sixth step","9","Good","A great deal","7"
"2815","33","Very happy","Fourth step","9","Good","5","8"
"2816","65","Quite happy","Sixth step","7","Good","5","7"
"2817","42","Quite happy","Lower step","9","Good","8","8"
"2818","50","Quite happy","Fourth step","7","Very good","A great deal","5"
"2819","42","Quite happy","Fifth step","7","Good","8","8"
"2820","67","Not very happy","Lower step","5","Poor","8","4"
"2821","76","Quite happy","Fourth step","8","Fair","5","5"
"2822","49","Quite happy","Sixth step","6","Good","7","4"
"2823","22","Very happy","Lower step","9","Good","5","4"
"2825","35","Very happy","Eigth step","9","Fair","8","8"
"2826","39","Quite happy","Seventh step","9","Very good","8","7"
"2827","23","Very happy","Seventh step","Satisfied","Fair","8","8"
"2828","86","Quite happy","Lower step","7","Good","A great deal","4"
"2829","27","Quite happy","Fourth step","8","Good","A great deal","Dissatisfied"
"2830","21","Very happy","second step","9","Good","8","7"
"2831","57","Very happy","Eigth step","7","Good","9","9"
"2832","52","Quite happy","Sixth step","6","Fair","6","6"
"2833","54","Quite happy","Seventh step","8","Very good","8","8"
"2834","49","Quite happy","Fifth step","9","Fair","A great deal","6"
"2835","53","Quite happy","Tenth step","9","Very good","9","9"
"2836","40","Quite happy","Fourth step","9","Good","2","6"
"2837","20","Quite happy","second step","4","Good","9","8"
"2838","65","Very happy","Fourth step","9","Good","7","8"
"2839","25","Quite happy","Lower step","8","Good","7","5"
"2840","18","Very happy","Lower step","8","Very good","9","4"
"2841","48","Very happy","Nineth step","9","Good","5","3"
"2842","55","Very happy","Fourth step","7","Good","8","7"
"2843","45","Quite happy","Nineth step","8","Very good","8","9"
"2844","24","Very happy","Sixth step","9","Very good","8","8"
"2845","36","Very happy","Seventh step","9","Very good","9","8"
"2846","62","Quite happy","second step","9","Fair","7","7"
"2847","70","Quite happy","Fourth step","8","Poor","8","9"
"2848","37","Very happy","second step","8","Good","7","5"
"2849","45","Quite happy","Sixth step","8","Very good","6","4"
"2850","55","Quite happy","Third step","6","Fair","8","4"
"2851","74","Quite happy","Third step","9","Very good","9","Satisfied"
"2852","32","Very happy","Fourth step","9","Fair","9","5"
"2853","18","Quite happy","Fourth step","8","Very good","7","4"
"2854","24","Quite happy","Fourth step","9","Good","8","7"
"2855","37","Very happy","Tenth step","8","Very good","9","Satisfied"
"2856","66","Quite happy","Fourth step","8","Fair","7","7"
"2857","24","Quite happy","Lower step","7","Good","A great deal","4"
"2858","43","Very happy","Eigth step","9","Good","9","9"
"2859","35","Very happy","Eigth step","Satisfied","Good","8","9"
"2860","34","Very happy","Eigth step","9","Very good","7","7"
"2861","29","Very happy","Third step","9","Good","8","4"
"2862","37","Quite happy","Fourth step","8","Very good","9","8"
"2863","59","Quite happy","Seventh step","9","Good","9","9"
"2864","43","Very happy","Seventh step","8","Good","7","7"
"2865","45","Quite happy","Sixth step","8","Good","7","8"
"2866","20","Quite happy","Lower step","7","Very good","8","5"
"2867","30","Quite happy","Eigth step","7","Good","7","6"
"2868","39","Very happy","Fourth step","9","Very good","9","9"
"2869","38","Quite happy","Lower step","8","Good","7","7"
"2870","21","Very happy","Nineth step","9","Good","8","Satisfied"
"2871","24","Very happy","Sixth step","9","Good","8","7"
"2872","25","Quite happy","Eigth step","9","Very good","7","7"
"2873","36","Quite happy","second step","7","Good","8","6"
"2874","46","Not very happy","second step","5","Fair","5","5"
"2875","55","Very happy","Eigth step","9","Good","8","Satisfied"
"2876","33","Quite happy","Sixth step","Satisfied","Good","A great deal","9"
"2877","58","Very happy","Seventh step","9","Good","9","9"
"2878","67","Quite happy","Lower step","9","Good","6","8"
"2879","49","Not very happy","Fifth step","8","Poor","7","3"
"2880","26","Quite happy","Fifth step","8","Very good","6","Satisfied"
"2882","35","Quite happy","Seventh step","9","Very good","9","8"
"2883","47","Quite happy","Fourth step","9","Very good","8","8"
"2884","49","Quite happy","Fifth step","7","Good","7","6"
"2885","19","Quite happy","Nineth step","9","Very good","9","9"
"2886","37","Very happy","Fifth step","Satisfied","Very good","8","7"
"2887","39","Quite happy","Eigth step","8","Very good","9","3"
"2888","52","Not very happy","second step","3","Poor","3","4"
"2889","53","Quite happy","Eigth step","7","Fair","7","7"
"2890","49","Quite happy","Third step","5","Poor","4","4"
"2891","19","Quite happy","Nineth step","3","Very good","7","2"
"2892","52","Quite happy","Third step","6","Poor","3","2"
"2894","54","Quite happy","Fourth step","8","Fair","5","5"
"2895","37","Very happy","Seventh step","Satisfied","Very good","9","9"
"2896","73","Quite happy","second step","8","Good","6","8"
"2898","72","Quite happy","Fourth step","7","Fair","5","7"
"2899","81","Quite happy","second step","8","Fair","9","Satisfied"
"2900","45","Quite happy","Seventh step","8","Fair","8","8"
"2901","85","Quite happy","Seventh step","6","Fair","4","9"
"2902","38","Very happy","Seventh step","8","Very good","7","8"
"2903","48","Quite happy","Sixth step","8","Good","8","7"
"2904","26","Very happy","Fourth step","9","Good","7","9"
"2905","54","Very happy","Seventh step","9","Good","A great deal","Satisfied"
"2906","21","Very happy","Sixth step","9","Good","5","7"
"2907","42","Quite happy","Nineth step","8","Good","6","9"
"2908","36","Quite happy","second step","2","Very good","9","9"
"2909","32","Quite happy","Sixth step","8","Good","8","8"
"2910","40","Quite happy","Sixth step","4","Poor","8","5"
"2911","44","Quite happy","Seventh step","4","Good","8","7"
"2912","49","Quite happy","Lower step","9","Fair","4","2"
"2913","25","Very happy","Third step","9","Good","8","7"
"2914","59","Very happy","Fifth step","8","Fair","A great deal","Satisfied"
"2915","38","Quite happy","Sixth step","5","Good","6","4"
"2916","23","Quite happy","Third step","8","Good","A great deal","6"
"2917","32","Quite happy","Seventh step","8","Good","9","7"
"2918","34","Very happy","Nineth step","9","Good","7","4"
"2919","34","Quite happy","Lower step","7","Good","7","6"
"2920","72","Not very happy","second step","7","Fair","5","8"
"2921","19","Quite happy","Fifth step","Satisfied","Good","6","8"
"2922","52","Quite happy","Third step","8","Fair","7","8"
"2923","64","Very happy","Lower step","9","Good","A great deal","8"
"2924","48","Quite happy","Fourth step","8","Good","6","9"
"2925","21","Quite happy","second step","7","Good","6","6"
"2926","43","Quite happy","Fifth step","9","Good","8","9"
"2927","37","Very happy","Seventh step","9","Very good","7","8"
"2928","59","Quite happy","Sixth step","8","Good","6","8"
"2929","30","Very happy","Seventh step","8","Very good","7","8"
"2930","53","Quite happy","Tenth step","8","Fair","3","9"
"2931","34","Quite happy","Lower step","5","Fair","6","4"
"2932","19","Quite happy","Lower step","7","Good","9","6"
"2933","77","Very happy","Fourth step","9","Good","8","8"
"2934","24","Quite happy","second step","2","Very good","5","Dissatisfied"
"2935","66","Quite happy","Fifth step","8","Good","6","8"
"2937","84","Quite happy","Lower step","8","Good","9","5"
"2938","62","Very happy","second step","Satisfied","Very good","A great deal","5"
"2939","19","Quite happy","Fifth step","8","Good","9","8"
"2940","18","Very happy","second step","9","Very good","6","8"
"2941","38","Quite happy","Nineth step","8","Good","8","8"
"2942","25","Quite happy","second step","8","Good","9","7"
"2943","40","Not very happy","Lower step","4","Fair","7","Dissatisfied"
"2944","43","Quite happy","Third step","8","Fair","6","8"
"2945","39","Very happy","Nineth step","9","Very good","7","9"
"2946","46","Quite happy","Tenth step","9","Good","8","8"
"2947","62","Quite happy","Third step","9","Good","7","9"
"2948","63","Quite happy","Third step","9","Good","8","Satisfied"
"2949","54","Quite happy","second step","8","Good","5","4"
"2950","42","Quite happy","Sixth step","7","Fair","5","4"
"2951","59","Quite happy","Sixth step","9","Very good","8","9"
"2952","26","Quite happy","Fifth step","9","Good","A great deal","8"
"2953","70","Not very happy","Fourth step","5","Fair","8","8"
"2954","52","Very happy","Fourth step","Satisfied","Fair","7","7"
"2955","76","Not very happy","second step","7","Fair","4","2"
"2956","77","Not very happy","Third step","9","Good","5","Satisfied"
"2957","28","Quite happy","Seventh step","8","Good","8","8"
"2958","53","Quite happy","Fourth step","8","Good","9","4"
"2959","82","Quite happy","Third step","6","Good","6","Satisfied"
"2961","74","Quite happy","second step","8","Fair","8","Satisfied"
"2962","56","Quite happy","Lower step","Satisfied","Good","5","5"
"2963","40","Quite happy","Fourth step","8","Good","9","7"
"2964","81","Quite happy","second step","7","Poor","3","6"
"2965","33","Not very happy","second step","5","Fair","5","8"
"2966","79","Quite happy","Fourth step","8","Fair","9","Satisfied"
"2967","83","Not very happy","second step","5","Fair","7","5"
"2968","26","Quite happy","Lower step","8","Very good","7","7"
"2969","18","Quite happy","Seventh step","5","Good","6","2"
"2971","43","Quite happy","Third step","Satisfied","Good","A great deal","Satisfied"
"2972","44","Quite happy","Third step","8","Good","8","6"
"2973","63","Quite happy","Third step","7","Fair","5","3"
"2974","36","Quite happy","Third step","8","Good","8","5"
"2975","66","Very happy","Seventh step","Satisfied","Very good","8","Satisfied"
"2976","26","Very happy","Fifth step","Satisfied","Very good","A great deal","8"
"2978","36","Very happy","Tenth step","8","Very good","A great deal","9"
"2979","28","Very happy","Third step","9","Good","9","3"
"2980","26","Quite happy","Seventh step","9","Good","8","9"
"2981","27","Very happy","Seventh step","Satisfied","Very good","7","5"
"2982","42","Quite happy","second step","8","Fair","7","5"
"2983","73","Very happy","second step","8","Good","4","8"
"2985","30","Very happy","Third step","8","Very good","9","7"
"2986","64","Quite happy","Third step","5","Fair","7","5"
"2987","74","Very happy","second step","9","Good","9","8"
"2988","69","Quite happy","second step","5","Good","4","5"
"2989","80","Quite happy","Fourth step","4","Poor","3","7"
"2991","56","Quite happy","Fifth step","Satisfied","Fair","6","8"
"2992","25","Quite happy","Lower step","8","Very good","8","5"
"2993","44","Very happy","Eigth step","9","Good","8","9"
"2994","71","Very happy","Third step","7","Fair","4","Satisfied"
"2995","19","Quite happy","Lower step","8","Good","6","5"
"2996","26","Quite happy","Sixth step","9","Good","8","7"
"2997","42","Very happy","Eigth step","9","Very good","9","6"
"2998","35","Quite happy","second step","8","Very good","6","6"
"3000","49","Quite happy","Nineth step","8","Good","6","9"
"3001","32","Very happy","Third step","8","Good","7","9"
"3002","47","Not very happy","second step","3","Poor","5","3"
"3003","47","Not very happy","Lower step","7","Fair","9","5"
"3004","27","Very happy","Third step","8","Very good","7","7"
"3005","27","Quite happy","Third step","Satisfied","Good","A great deal","5"
"3006","45","Quite happy","Fifth step","7","Very good","8","7"
"3007","41","Very happy","Third step","9","Good","8","7"
"3008","32","Quite happy","Seventh step","7","Good","8","Satisfied"
"3010","44","Quite happy","Eigth step","8","Good","8","8"
"3011","23","Quite happy","Lower step","7","Very good","8","9"
"3012","86","Quite happy","second step","7","Good","8","8"
"3013","37","Very happy","Lower step","9","Good","7","8"
"3014","45","Very happy","Eigth step","9","Very good","5","9"
"3015","51","Quite happy","Seventh step","8","Good","8","8"
"3016","65","Very happy","second step","9","Fair","8","6"
"3017","62","Quite happy","Third step","8","Fair","6","9"
"3018","30","Quite happy","Fourth step","9","Very good","8","9"
"3019","50","Quite happy","Seventh step","8","Fair","9","8"
"3020","33","Very happy","Sixth step","9","Good","9","9"
"3021","72","Not very happy","second step","7","Fair","8","7"
"3022","18","Quite happy","Fifth step","9","Very good","8","8"
"3023","54","Very happy","Sixth step","9","Very good","A great deal","6"
"3024","51","Quite happy","Seventh step","8","Good","7","7"
"3025","22","Quite happy","Lower step","8","Fair","8","3"
"3026","43","Very happy","Tenth step","9","Very good","8","8"
"3027","59","Quite happy","Eigth step","9","Very good","8","9"
"3028","24","Very happy","Lower step","8","Very good","A great deal","7"
"3029","56","Very happy","Sixth step","8","Fair","8","4"
"3030","41","Quite happy","Sixth step","8","Very good","9","Satisfied"
"3031","54","Quite happy","second step","8","Fair","6","6"
"3032","65","Quite happy","Fifth step","8","Good","8","8"
"3033","52","Quite happy","Third step","8","Good","9","5"
"3034","28","Quite happy","Fourth step","7","Very good","A great deal","3"
"3035","39","Quite happy","Eigth step","8","Good","9","8"
"3037","64","Quite happy","second step","7","Fair","8","8"
"3038","59","Quite happy","Tenth step","7","Good","8","6"
"3039","64","Quite happy","second step","7","Good","8","7"
"3040","44","Quite happy","Seventh step","8","Good","8","Satisfied"
"3041","22","Very happy","second step","Satisfied","Good","A great deal","7"
"3042","59","Quite happy","Fifth step","7","Fair","9","3"
"3043","45","Quite happy","Seventh step","8","Good","7","7"
"3046","43","Very happy","Third step","Satisfied","Very good","A great deal","Satisfied"
"3047","37","Very happy","Fourth step","Satisfied","Good","9","2"
"3048","45","Quite happy","Nineth step","9","Fair","4","5"
"3049","32","Quite happy","Lower step","8","Very good","7","4"
"3050","36","Very happy","Eigth step","9","Good","8","8"
"3051","34","Quite happy","Fourth step","8","Good","5","8"
"3052","39","Quite happy","Third step","8","Good","6","4"
"3053","60","Very happy","Third step","9","Very good","7","7"
"3054","50","Quite happy","Sixth step","8","Fair","9","8"
"3056","73","Not very happy","Third step","8","Fair","A great deal","Satisfied"
"3058","71","Not very happy","Fifth step","7","Fair","6","8"
"3059","30","Very happy","Fourth step","8","Good","8","7"
"3060","67","Quite happy","Lower step","8","Fair","8","Satisfied"
"3061","85","Quite happy","Third step","7","Fair","7","5"
"3062","55","Quite happy","second step","Satisfied","Fair","6","8"
"3063","40","Quite happy","Fourth step","4","Fair","5","7"
"3064","71","Quite happy","second step","5","Poor","3","3"
"3065","29","Very happy","Sixth step","9","Good","7","3"
"3066","42","Quite happy","Seventh step","9","Good","9","8"
"3067","26","Quite happy","Fourth step","8","Very good","8","5"
"3068","36","Quite happy","second step","4","Good","5","3"
"3069","38","Quite happy","Fifth step","8","Good","7","8"
"3070","55","Quite happy","Lower step","7","Fair","8","6"
"3071","53","Very happy","Third step","7","Good","9","6"
"3072","65","Very happy","second step","9","Good","7","8"
"3073","72","Quite happy","Lower step","7","Fair","8","6"
"3074","66","Quite happy","Third step","8","Very good","A great deal","8"
"3075","76","Very happy","Fourth step","Satisfied","Very good","9","Satisfied"
"3076","41","Quite happy","Seventh step","9","Very good","7","9"
"3077","49","Very happy","Fourth step","9","Fair","A great deal","6"
"3078","55","Quite happy","Lower step","6","Fair","7","5"
"3079","44","Very happy","Seventh step","Satisfied","Very good","9","9"
"3080","33","Quite happy","Sixth step","8","Good","7","7"
"3081","76","Very happy","second step","7","Good","6","6"
"3082","24","Quite happy","second step","7","Fair","9","5"
"3083","69","Quite happy","Lower step","9","Good","6","6"
"3084","77","Not very happy","Lower step","5","Fair","7","5"
"3086","21","Quite happy","Lower step","Satisfied","Very good","9","7"
"3087","70","Quite happy","second step","8","Good","A great deal","8"
"3088","42","Very happy","Nineth step","9","Fair","9","9"
"3089","51","Quite happy","Fifth step","8","Good","8","9"
"3091","77","Not very happy","Third step","7","Fair","8","9"
"3092","27","Quite happy","Seventh step","8","Good","8","Satisfied"
"3094","37","Quite happy","Eigth step","9","Very good","8","7"
"3096","35","Very happy","Fourth step","9","Good","9","7"
"3097","40","Very happy","Seventh step","9","Good","8","8"
"3098","36","Quite happy","Eigth step","8","Good","8","5"
"3100","68","Quite happy","Sixth step","Satisfied","Good","5","Satisfied"
"3101","22","Quite happy","Lower step","8","Good","7","7"
"3102","60","Quite happy","Third step","9","Good","8","8"
"3103","35","Very happy","Tenth step","9","Very good","9","8"
"3104","28","Quite happy","Fifth step","9","Good","9","7"
"3105","28","Quite happy","Fourth step","8","Very good","7","7"
"3106","24","Quite happy","Third step","8","Very good","9","7"
"3107","39","Quite happy","Seventh step","7","Good","7","4"
"3108","24","Very happy","Lower step","8","Fair","8","8"
"3109","41","Quite happy","Seventh step","8","Good","8","8"
"3110","37","Quite happy","Third step","9","Very good","9","9"
"3111","57","Quite happy","Third step","8","Good","7","7"
"3113","57","Quite happy","Fifth step","9","Good","7","7"
"3114","29","Very happy","Eigth step","9","Good","7","7"
"3115","43","Quite happy","Eigth step","8","Fair","9","8"
"3116","39","Very happy","Sixth step","Dissatisfied","Very good","3","Satisfied"
"3117","45","Very happy","second step","9","Good","8","5"
"3118","41","Quite happy","Seventh step","8","Fair","8","7"
"3119","54","Quite happy","Eigth step","8","Fair","8","7"
"3120","62","Quite happy","second step","7","Fair","8","3"
"3121","52","Very happy","Nineth step","9","Good","7","8"
"3122","51","Quite happy","Tenth step","9","Very good","7","8"
"3123","49","Quite happy","Lower step","7","Fair","7","4"
"3125","49","Quite happy","Fourth step","9","Fair","9","8"
"3126","21","Quite happy","Lower step","8","Very good","A great deal","7"
"3127","60","Quite happy","Third step","8","Good","8","6"
"3128","67","Not very happy","Third step","6","Fair","8","7"
"3131","66","Quite happy","Third step","6","Poor","8","8"
"3132","31","Very happy","Eigth step","9","Very good","8","Satisfied"
"3133","36","Quite happy","Seventh step","7","Very good","8","6"
"3134","29","Quite happy","second step","7","Good","6","2"
"3135","41","Quite happy","Lower step","8","Good","8","8"
"3136","44","Quite happy","Sixth step","9","Very good","8","8"
"3137","60","Quite happy","Fourth step","9","Very good","8","9"
"3138","31","Quite happy","Fourth step","7","Fair","7","3"
"3139","56","Not very happy","Lower step","3","Fair","6","Dissatisfied"
"3140","30","Quite happy","Third step","8","Good","7","5"
"3141","28","Very happy","Eigth step","8","Good","8","8"
"3142","28","Quite happy","Third step","5","Fair","9","3"
"3143","61","Very happy","Tenth step","9","Very good","9","9"
"3144","21","Quite happy","Lower step","8","Good","9","6"
"3146","43","Quite happy","Lower step","6","Good","8","Dissatisfied"
"3147","57","Quite happy","Third step","8","Fair","7","6"
"3148","73","Very happy","Sixth step","9","Very good","8","9"
"3149","44","Quite happy","Third step","8","Good","9","6"
"3150","47","Quite happy","Third step","7","Fair","7","7"
"3151","38","Quite happy","Sixth step","8","Very good","A great deal","Satisfied"
"3152","59","Quite happy","Eigth step","8","Fair","7","8"
"3153","68","Quite happy","Sixth step","9","Fair","8","7"
"3154","41","Quite happy","Lower step","9","Fair","8","7"
"3155","41","Quite happy","Tenth step","8","Very good","9","8"
"3156","58","Not very happy","Lower step","2","Poor","3","Dissatisfied"
"3157","41","Quite happy","Sixth step","7","Good","A great deal","9"
"3158","75","Quite happy","second step","3","Fair","7","3"
"3159","47","Very happy","second step","9","Fair","8","8"
"3160","70","Quite happy","Third step","9","Good","6","7"
"3161","72","Quite happy","Lower step","8","Fair","4","7"
"3162","74","Quite happy","Third step","4","Poor","3","4"
"3163","52","Very happy","second step","8","Good","9","4"
"3164","59","Quite happy","Fourth step","Satisfied","Fair","8","8"
"3165","48","Quite happy","Sixth step","7","Fair","4","8"
"3166","73","Quite happy","second step","9","Fair","6","9"
"3167","65","Not very happy","Lower step","5","Good","5","6"
"3168","50","Quite happy","Third step","8","Good","6","8"
"3169","28","Very happy","Third step","9","Very good","9","4"
"3170","45","Quite happy","Third step","8","Very good","9","8"
"3171","70","Quite happy","Lower step","8","Good","8","7"
"3172","62","Very happy","Third step","Satisfied","Good","A great deal","Satisfied"
"3174","45","Quite happy","second step","8","Good","7","6"
"3176","40","Very happy","Seventh step","9","Good","7","9"
"3178","59","Quite happy","Tenth step","7","Good","5","8"
"3179","25","Quite happy","Sixth step","8","Fair","9","8"
"3180","45","Quite happy","Fourth step","9","Good","8","6"
"3181","18","Quite happy","second step","8","Good","7","8"
"3182","56","Very happy","Seventh step","9","Good","7","9"
